Maia DS2:
  IR_PWR          Switches device off
  IR_VOLUP        Increases the relative volume
  IR_VOLDN        Decreases the relative volume
  IR_CHDN         Jumps to the next input
  IR_CHUP         Jumps to the previous input
  IR_NUM1         Jumps to input 1
  IR_NUM2         Jumps to input 2
  IR_NUM3         Jumps to input 3
  IR_NUM4         Jumps to input 4
  IR_NUM5         Jumps to input 5
  IR_NUM6         Jumps to input 6
  IR_NUM7         Jumps to input 7
  IR_NUM8         Jumps to input 8
  IR_NUM9         Jumps to input 9
  IR_NUM10        Jumps to input 10
